farm_id,crop,area,yield,rainfall,temperature,fertilizer,pesticide,soil_type,irrigation,cost,revenue,profit,season,region
32,Rice,1.5,2,100,20,200,100,Sandy,0,-500,2000,-1000,Dry,Region2
33,Wheat,1.5,-1,10000,45,50,100,Sandy,yes,1000,2000,500,Dry,Region1
34,Rice,-5.0,-1,5000,20,200,100,Clay,0,1000,2000,500,Dry,Region1
35,Wheat,1.5,5,5000,20,200,100,Clay,0,-500,2000,500,Dry,Region2
36,Maize,1.5,-1,10000,100,200,10,Clay,1,1000,2000,500,Wet,Region1
37,Rice,1.5,2,100,20,50,100,Clay,yes,1000,2000,-1000,Dry,Region1
38,Maize,10.0,5,5000,100,200,100,Clay,yes,-500,2000,500,Dry,Region1
39,Maize,10.0,5,10000,45,200,10,Clay,0,1000,100,500,Wet,Region1
40,Wheat,-5.0,5,5000,45,50,10,Sandy,0,-500,100,-1000,Dry,Region2
41,Rice,-5.0,2,100,45,200,100,Clay,0,-500,2000,500,Wet,Region2
42,Maize,1.5,-1,5000,100,50,10,Sandy,yes,-500,2000,500,Wet,Region1
43,Rice,-5.0,2,10000,20,200,100,Sandy,yes,1000,2000,-1000,Dry,Region1
44,Maize,10.0,5,5000,100,200,10,Sandy,yes,1000,2000,-1000,Dry,Region2
45,Maize,1.5,5,10000,100,50,100,Sandy,1,-500,100,-1000,Wet,Region2
46,Maize,-5.0,5,10000,45,200,10,Clay,0,1000,2000,-1000,Wet,Region1
47,Maize,-5.0,5,100,100,200,10,Clay,1,-500,100,500,Dry,Region1
48,Wheat,10.0,2,100,100,50,10,Sandy,1,1000,2000,500,Wet,Region1
49,Rice,10.0,5,100,100,200,100,Sandy,yes,-500,100,500,Wet,Region1
50,Rice,10.0,2,10000,45,200,100,Sandy,yes,1000,100,500,Dry,Region1
51,Wheat,-5.0,2,10000,20,50,10,Sandy,1,-500,2000,500,Dry,Region1
52,Wheat,10.0,2,100,100,50,10,Sandy,1,-500,100,500,Wet,Region2
53,Maize,-5.0,2,100,20,200,10,Sandy,1,-500,100,500,Wet,Region1
54,Wheat,-5.0,5,5000,100,50,100,Sandy,yes,1000,100,-1000,Dry,Region1
55,Maize,-5.0,-1,5000,100,200,100,Clay,0,-500,2000,500,Wet,Region2
56,Wheat,-5.0,5,5000,20,50,100,Sandy,1,1000,100,-1000,Wet,Region2
57,Wheat,10.0,5,5000,20,200,10,Clay,1,-500,2000,-1000,Wet,Region2
58,Rice,-5.0,-1,5000,45,50,10,Clay,0,-500,100,500,Dry,Region1
59,Wheat,1.5,-1,5000,20,200,10,Sandy,yes,1000,100,500,Wet,Region1
60,Maize,1.5,2,10000,100,50,10,Sandy,0,1000,100,-1000,Wet,Region2
61,Maize,10.0,5,10000,20,200,100,Clay,yes,1000,100,-1000,Dry,Region2
62,Rice,10.0,-1,10000,20,200,10,Clay,1,-500,2000,500,Dry,Region2
63,Wheat,1.5,5,100,45,200,100,Sandy,0,-500,100,500,Wet,Region1
64,Rice,1.5,5,100,100,200,10,Sandy,0,1000,2000,-1000,Dry,Region1
65,Wheat,-5.0,5,10000,100,50,100,Clay,1,-500,2000,-1000,Wet,Region2
66,Maize,10.0,5,10000,100,50,100,Clay,1,1000,2000,500,Wet,Region2
67,Rice,-5.0,2,100,45,200,100,Clay,yes,-500,2000,-1000,Dry,Region2
68,Rice,10.0,-1,100,100,200,10,Clay,yes,1000,2000,500,Dry,Region1
69,Rice,10.0,5,10000,100,50,100,Sandy,0,-500,2000,500,Wet,Region1
70,Wheat,1.5,5,100,20,200,100,Clay,1,-500,100,-1000,Dry,Region2
71,Maize,-5.0,-1,100,45,50,10,Clay,yes,-500,100,500,Wet,Region1
72,Maize,-5.0,-1,5000,20,200,10,Sandy,0,1000,2000,-1000,Wet,Region2
73,Maize,10.0,-1,10000,20,200,10,Clay,1,1000,100,-1000,Wet,Region2
74,Wheat,-5.0,5,5000,45,50,10,Clay,yes,1000,2000,500,Dry,Region1
75,Maize,1.5,5,10000,100,50,10,Clay,0,1000,2000,-1000,Wet,Region1
76,Maize,10.0,-1,100,100,50,10,Sandy,1,-500,100,500,Wet,Region2
77,Rice,-5.0,-1,10000,20,200,100,Clay,1,-500,100,500,Wet,Region1
78,Wheat,10.0,5,100,100,50,100,Sandy,yes,1000,100,500,Dry,Region1
79,Wheat,1.5,-1,10000,20,50,10,Clay,1,-500,100,-1000,Dry,Region2
80,Maize,10.0,2,5000,100,50,10,Clay,yes,-500,2000,-1000,Dry,Region1
81,Rice,10.0,-1,5000,20,200,10,Clay,yes,1000,100,500,Wet,Region1
82,Wheat,1.5,5,10000,100,200,10,Clay,0,-500,100,500,Dry,Region2
83,Rice,-5.0,5,100,45,50,100,Clay,yes,-500,2000,500,Dry,Region2
84,Maize,-5.0,2,5000,45,200,100,Sandy,1,-500,100,-1000,Dry,Region1
85,Wheat,10.0,-1,10000,45,200,10,Sandy,0,-500,100,-1000,Wet,Region2
86,Wheat,1.5,2,100,45,50,100,Clay,1,1000,2000,-1000,Wet,Region1
87,Rice,-5.0,-1,5000,100,200,10,Clay,yes,-500,2000,500,Dry,Region1
88,Rice,-5.0,-1,5000,20,200,10,Sandy,0,-500,2000,500,Wet,Region2
89,Wheat,10.0,2,5000,100,50,10,Sandy,0,-500,100,-1000,Wet,Region2
90,Rice,10.0,2,100,45,50,10,Sandy,1,-500,2000,500,Dry,Region1
91,Rice,1.5,-1,100,45,200,100,Sandy,yes,1000,100,-1000,Wet,Region1
92,Rice,1.5,5,100,100,50,100,Clay,yes,1000,100,-1000,Wet,Region1
93,Wheat,-5.0,2,5000,20,50,100,Clay,yes,1000,100,500,Wet,Region1
94,Wheat,1.5,2,10000,100,200,100,Sandy,yes,1000,2000,-1000,Dry,Region1
95,Rice,10.0,-1,10000,20,50,10,Clay,yes,-500,100,500,Wet,Region1
96,Rice,1.5,-1,10000,45,200,100,Clay,yes,-500,2000,500,Dry,Region2
97,Rice,-5.0,5,10000,45,50,100,Sandy,yes,1000,100,-1000,Dry,Region1
98,Wheat,-5.0,2,10000,45,50,100,Clay,yes,1000,100,-1000,Wet,Region2
99,Rice,1.5,2,100,100,50,10,Clay,1,-500,2000,-1000,Wet,Region2
100,Rice,-5.0,-1,100,45,200,10,Clay,1,-500,2000,-1000,Wet,Region2
101,Maize,-5.0,2,10000,20,50,100,Clay,0,-500,2000,500,Dry,Region2
102,Wheat,1.5,2,5000,100,200,100,Sandy,0,1000,2000,-1000,Wet,Region1
103,Wheat,1.5,5,5000,20,50,100,Sandy,1,1000,2000,500,Wet,Region1
104,Wheat,10.0,-1,10000,100,50,100,Sandy,0,-500,100,500,Dry,Region2
105,Maize,1.5,2,10000,20,200,10,Sandy,0,-500,100,-1000,Wet,Region2
106,Wheat,-5.0,2,5000,20,200,100,Clay,0,-500,100,-1000,Dry,Region1
107,Wheat,10.0,-1,5000,100,50,100,Clay,1,1000,2000,-1000,Dry,Region1
108,Wheat,1.5,2,5000,45,200,10,Sandy,1,-500,2000,-1000,Wet,Region1
109,Maize,1.5,2,100,100,50,10,Clay,1,-500,100,-1000,Dry,Region2
110,Maize,-5.0,5,10000,45,50,10,Sandy,yes,-500,100,500,Wet,Region2
111,Rice,1.5,5,5000,45,50,10,Clay,0,-500,2000,-1000,Dry,Region1
112,Wheat,-5.0,5,10000,20,200,10,Sandy,0,-500,2000,-1000,Wet,Region1
113,Maize,10.0,5,5000,45,200,10,Clay,1,1000,100,500,Wet,Region1
114,Wheat,1.5,-1,5000,45,50,100,Sandy,yes,-500,2000,-1000,Dry,Region2
115,Rice,10.0,5,100,45,200,100,Sandy,yes,-500,100,500,Dry,Region1
116,Maize,10.0,5,10000,45,200,10,Sandy,1,-500,100,500,Dry,Region1
117,Wheat,1.5,-1,10000,45,200,10,Sandy,0,-500,100,-1000,Wet,Region1
118,Rice,-5.0,-1,5000,45,200,100,Sandy,0,1000,2000,-1000,Dry,Region2
119,Wheat,1.5,2,10000,20,200,10,Clay,yes,-500,2000,-1000,Wet,Region2
120,Rice,1.5,5,10000,20,200,10,Clay,0,1000,100,-1000,Wet,Region2
121,Maize,10.0,5,10000,100,200,10,Clay,1,-500,2000,500,Dry,Region1
122,Rice,-5.0,5,100,45,200,10,Clay,yes,-500,100,500,Wet,Region2
123,Maize,-5.0,-1,10000,45,200,100,Sandy,yes,-500,2000,-1000,Dry,Region1
124,Wheat,10.0,-1,10000,20,200,10,Clay,0,-500,100,500,Dry,Region1
125,Maize,-5.0,-1,100,45,200,100,Sandy,yes,-500,100,500,Dry,Region1
126,Wheat,1.5,2,100,45,200,10,Sandy,1,1000,100,500,Wet,Region1
127,Maize,10.0,-1,5000,20,200,100,Clay,yes,-500,2000,-1000,Dry,Region2
128,Rice,1.5,-1,5000,45,200,10,Clay,1,1000,100,500,Wet,Region2
129,Maize,10.0,2,100,45,50,100,Sandy,yes,1000,2000,500,Dry,Region2
130,Wheat,1.5,2,100,45,200,10,Clay,1,-500,2000,-1000,Wet,Region2
131,Wheat,1.5,2,10000,100,200,100,Clay,1,1000,100,500,Dry,Region1
132,Rice,-5.0,2,10000,20,200,100,Clay,yes,-500,2000,-1000,Dry,Region1
133,Rice,10.0,2,10000,45,50,100,Sandy,1,1000,100,-1000,Wet,Region2
134,Wheat,1.5,2,10000,20,50,100,Sandy,yes,-500,100,-1000,Wet,Region2
135,Maize,10.0,2,10000,45,50,100,Sandy,0,1000,2000,500,Dry,Region2
136,Wheat,1.5,2,5000,20,50,10,Sandy,1,1000,100,500,Dry,Region2
137,Wheat,1.5,5,100,45,50,10,Clay,1,1000,2000,-1000,Wet,Region2
138,Rice,10.0,5,10000,20,200,10,Sandy,1,1000,100,500,Dry,Region2
139,Wheat,1.5,2,10000,100,200,100,Sandy,yes,1000,2000,-1000,Wet,Region2
140,Maize,10.0,-1,100,45,50,10,Sandy,1,-500,2000,500,Wet,Region1
141,Wheat,10.0,5,5000,100,200,10,Sandy,yes,-500,2000,500,Wet,Region1
142,Rice,1.5,-1,100,20,50,100,Sandy,0,1000,2000,-1000,Wet,Region2
143,Maize,1.5,-1,100,45,50,100,Sandy,yes,1000,2000,500,Wet,Region2
144,Rice,1.5,5,100,100,50,10,Sandy,0,1000,100,500,Wet,Region1
145,Maize,1.5,5,100,100,200,10,Sandy,1,1000,2000,500,Wet,Region1
146,Wheat,-5.0,5,5000,20,200,100,Sandy,yes,1000,2000,500,Dry,Region1
147,Wheat,-5.0,5,100,20,200,10,Sandy,1,-500,100,500,Dry,Region1
148,Wheat,1.5,-1,10000,45,200,100,Clay,0,1000,100,-1000,Wet,Region2
149,Maize,10.0,2,10000,20,50,100,Sandy,0,-500,2000,-1000,Dry,Region2
150,Rice,-5.0,-1,5000,20,200,100,Clay,yes,-500,2000,-1000,Dry,Region2
151,Maize,10.0,5,10000,45,200,100,Clay,yes,1000,2000,-1000,Wet,Region1
152,Wheat,10.0,5,5000,45,200,10,Clay,yes,1000,100,500,Dry,Region2
153,Rice,10.0,2,10000,100,200,10,Clay,1,1000,100,500,Wet,Region2
154,Maize,-5.0,-1,10000,20,50,10,Sandy,1,1000,2000,500,Dry,Region2
155,Wheat,10.0,-1,100,100,50,100,Sandy,0,-500,2000,500,Dry,Region1
156,Wheat,-5.0,-1,10000,45,200,10,Sandy,1,1000,2000,-1000,Wet,Region1
157,Rice,10.0,5,10000,100,50,10,Sandy,yes,1000,2000,500,Dry,Region1
158,Wheat,-5.0,5,5000,45,50,10,Sandy,1,1000,2000,-1000,Dry,Region1
159,Maize,1.5,2,10000,20,50,10,Sandy,yes,1000,100,500,Dry,Region1
160,Rice,-5.0,-1,10000,45,50,100,Clay,1,1000,100,-1000,Dry,Region2
161,Maize,10.0,2,100,45,50,100,Sandy,1,1000,2000,500,Wet,Region2
162,Maize,-5.0,-1,5000,20,200,10,Sandy,1,-500,100,-1000,Wet,Region2
163,Rice,1.5,5,10000,20,50,100,Sandy,1,1000,2000,-1000,Dry,Region2
164,Maize,10.0,2,10000,100,200,10,Sandy,1,1000,2000,-1000,Dry,Region2
165,Wheat,-5.0,5,5000,20,50,100,Clay,1,1000,100,500,Dry,Region1
166,Maize,-5.0,5,5000,100,200,100,Clay,1,1000,2000,-1000,Dry,Region2
167,Maize,1.5,5,100,20,200,100,Clay,1,1000,100,500,Dry,Region2
168,Wheat,-5.0,2,10000,100,50,10,Sandy,1,-500,2000,500,Dry,Region2
169,Wheat,1.5,5,5000,100,200,10,Sandy,1,1000,2000,-1000,Dry,Region1
170,Maize,10.0,-1,10000,100,50,10,Clay,1,-500,2000,500,Dry,Region2
171,Maize,10.0,2,5000,45,50,100,Sandy,1,-500,100,500,Dry,Region2
172,Rice,1.5,5,100,100,200,100,Sandy,1,-500,100,500,Wet,Region2
173,Maize,1.5,-1,5000,20,200,100,Sandy,yes,1000,100,500,Wet,Region2
174,Rice,-5.0,2,5000,100,50,10,Sandy,yes,-500,100,-1000,Dry,Region1
175,Rice,-5.0,2,10000,45,50,10,Sandy,yes,1000,100,-1000,Wet,Region1
176,Maize,10.0,5,100,20,50,10,Clay,yes,-500,2000,500,Dry,Region1
177,Maize,-5.0,5,5000,20,200,100,Clay,0,-500,2000,500,Wet,Region2
178,Maize,10.0,-1,100,45,200,10,Sandy,0,-500,100,500,Wet,Region1
179,Wheat,1.5,-1,100,100,50,100,Sandy,0,-500,100,500,Wet,Region2
180,Wheat,10.0,5,10000,20,200,100,Clay,0,1000,2000,-1000,Dry,Region1
181,Wheat,1.5,2,5000,45,200,10,Clay,yes,1000,2000,500,Wet,Region1
182,Wheat,-5.0,-1,100,45,50,10,Sandy,yes,-500,2000,500,Wet,Region1
183,Maize,1.5,2,10000,45,50,10,Clay,1,-500,100,500,Wet,Region1
184,Wheat,1.5,5,100,100,200,100,Clay,0,1000,2000,500,Dry,Region2
185,Maize,1.5,5,100,20,50,10,Clay,1,1000,2000,-1000,Dry,Region2
186,Maize,10.0,2,5000,45,50,10,Sandy,0,-500,100,-1000,Wet,Region1
187,Maize,1.5,2,100,20,200,100,Sandy,0,-500,2000,500,Wet,Region2
188,Wheat,1.5,2,5000,20,50,100,Sandy,yes,1000,2000,500,Dry,Region1
189,Wheat,-5.0,2,5000,20,50,100,Clay,1,-500,2000,500,Wet,Region1
190,Maize,-5.0,2,5000,20,200,100,Clay,1,1000,2000,-1000,Dry,Region2
191,Rice,10.0,2,100,20,50,10,Sandy,0,-500,100,500,Dry,Region1
192,Wheat,10.0,2,100,20,50,10,Sandy,1,-500,2000,-1000,Dry,Region1
193,Rice,-5.0,5,10000,20,50,100,Sandy,0,1000,100,-1000,Wet,Region1
194,Rice,-5.0,2,100,20,200,10,Clay,1,1000,100,-1000,Wet,Region2
195,Wheat,10.0,5,100,20,50,100,Clay,1,-500,2000,-1000,Dry,Region1
196,Rice,10.0,-1,100,20,50,10,Sandy,1,1000,100,500,Dry,Region2
197,Rice,1.5,5,100,45,200,100,Sandy,1,-500,2000,-1000,Dry,Region2
198,Maize,-5.0,-1,5000,45,200,100,Clay,yes,1000,100,-1000,Dry,Region2
199,Rice,-5.0,-1,5000,20,200,100,Clay,yes,1000,100,-1000,Dry,Region2
200,Wheat,-5.0,-1,5000,100,50,100,Sandy,1,-500,100,500,Dry,Region2
201,Maize,-5.0,5,100,100,50,10,Sandy,yes,-500,2000,500,Wet,Region1
202,Rice,-5.0,5,100,45,50,10,Sandy,1,1000,2000,-1000,Wet,Region1
203,Maize,10.0,-1,10000,100,200,10,Clay,yes,-500,100,500,Dry,Region2
204,Maize,1.5,2,5000,45,50,10,Clay,yes,-500,100,-1000,Dry,Region1
205,Rice,10.0,5,5000,45,200,10,Sandy,yes,1000,2000,-1000,Wet,Region2
206,Rice,-5.0,5,5000,100,200,10,Sandy,yes,-500,2000,500,Dry,Region2
207,Rice,1.5,-1,10000,20,50,100,Sandy,1,-500,2000,500,Wet,Region1
208,Maize,10.0,2,100,45,200,100,Clay,1,1000,100,500,Wet,Region1
209,Rice,1.5,-1,10000,20,200,10,Sandy,0,-500,2000,-1000,Wet,Region2
210,Rice,10.0,2,5000,45,200,10,Sandy,0,-500,2000,500,Wet,Region2
211,Maize,-5.0,5,10000,100,200,100,Clay,yes,1000,2000,500,Dry,Region1
212,Rice,-5.0,5,10000,100,200,100,Clay,yes,1000,100,500,Wet,Region1
213,Maize,1.5,5,100,100,50,10,Sandy,1,-500,2000,-1000,Wet,Region1
214,Maize,-5.0,2,10000,100,200,10,Clay,yes,1000,2000,500,Wet,Region2
215,Rice,10.0,2,10000,45,200,10,Clay,0,-500,100,500,Wet,Region2
216,Rice,1.5,-1,10000,100,200,100,Clay,1,1000,2000,-1000,Wet,Region1
217,Maize,-5.0,5,100,45,200,100,Clay,yes,1000,100,-1000,Dry,Region2
218,Wheat,10.0,-1,10000,45,200,100,Clay,yes,1000,100,500,Wet,Region2
219,Rice,-5.0,5,100,100,50,100,Sandy,0,-500,100,-1000,Wet,Region1
220,Wheat,10.0,2,5000,45,50,100,Clay,1,1000,2000,-1000,Dry,Region2
221,Wheat,10.0,-1,5000,45,200,100,Clay,0,1000,100,500,Wet,Region2
222,Wheat,10.0,5,100,100,200,100,Sandy,1,1000,2000,500,Wet,Region2
223,Wheat,-5.0,5,10000,20,200,100,Sandy,0,1000,2000,-1000,Dry,Region2
224,Rice,10.0,-1,5000,20,200,10,Sandy,1,-500,2000,-1000,Dry,Region1
225,Rice,1.5,2,100,100,50,10,Sandy,0,-500,2000,500,Wet,Region2
226,Rice,-5.0,-1,5000,100,200,100,Clay,1,-500,2000,-1000,Wet,Region2
227,Rice,-5.0,2,10000,100,200,10,Sandy,1,-500,2000,500,Dry,Region2
228,Maize,-5.0,-1,5000,20,200,10,Sandy,1,1000,2000,-1000,Dry,Region1
229,Wheat,-5.0,-1,100,20,200,10,Sandy,1,-500,2000,500,Wet,Region1
230,Wheat,-5.0,2,10000,45,50,10,Sandy,0,-500,100,500,Dry,Region2
231,Rice,10.0,2,100,45,200,100,Clay,0,-500,100,-1000,Dry,Region2
232,Rice,1.5,2,100,45,50,100,Sandy,yes,1000,100,-1000,Wet,Region2
233,Maize,10.0,-1,10000,100,50,100,Clay,1,-500,100,500,Dry,Region2
234,Maize,-5.0,2,5000,100,200,100,Sandy,0,-500,2000,500,Dry,Region1
235,Rice,-5.0,5,10000,45,200,10,Sandy,yes,-500,2000,500,Dry,Region1
236,Maize,-5.0,-1,100,45,200,10,Clay,0,-500,2000,-1000,Dry,Region2
237,Wheat,-5.0,5,10000,100,50,10,Clay,yes,1000,2000,500,Wet,Region2
238,Rice,-5.0,-1,100,100,50,100,Clay,yes,1000,2000,500,Wet,Region1
239,Wheat,-5.0,2,100,100,50,10,Sandy,yes,-500,100,500,Wet,Region1
240,Wheat,1.5,-1,100,100,200,100,Sandy,1,1000,100,-1000,Dry,Region1
241,Wheat,10.0,5,100,100,50,10,Sandy,0,1000,100,-1000,Dry,Region2
242,Wheat,10.0,5,100,20,200,100,Sandy,0,-500,2000,500,Dry,Region2
243,Wheat,10.0,-1,5000,45,50,10,Clay,yes,1000,100,500,Wet,Region1
244,Maize,-5.0,2,100,100,50,10,Clay,1,-500,2000,-1000,Wet,Region1
245,Maize,-5.0,2,5000,20,50,100,Clay,yes,1000,2000,500,Wet,Region1
246,Rice,-5.0,2,100,45,50,10,Clay,1,1000,2000,-1000,Dry,Region2
247,Rice,1.5,-1,10000,20,50,10,Sandy,1,1000,100,500,Wet,Region1
248,Maize,10.0,2,10000,20,50,100,Clay,1,-500,100,-1000,Dry,Region1
249,Maize,-5.0,5,10000,20,50,100,Sandy,1,-500,2000,500,Dry,Region2
250,Maize,10.0,2,10000,20,200,100,Sandy,0,-500,100,500,Wet,Region2
251,Maize,-5.0,2,100,100,50,100,Sandy,0,-500,100,500,Wet,Region2
252,Wheat,1.5,5,100,45,50,100,Clay,1,-500,2000,500,Dry,Region1
253,Wheat,10.0,-1,5000,45,50,10,Sandy,yes,1000,100,500,Wet,Region2
254,Wheat,10.0,5,5000,100,200,10,Sandy,yes,-500,2000,500,Dry,Region1
255,Wheat,1.5,5,5000,20,50,100,Clay,1,1000,2000,500,Wet,Region2
256,Wheat,10.0,-1,5000,45,50,10,Clay,1,1000,2000,500,Dry,Region1
257,Rice,-5.0,5,100,20,200,10,Sandy,yes,-500,100,500,Dry,Region2
258,Maize,10.0,5,10000,45,200,10,Clay,1,-500,100,-1000,Dry,Region2
259,Rice,-5.0,2,5000,100,200,10,Sandy,0,-500,100,-1000,Wet,Region2
260,Maize,-5.0,5,5000,20,50,10,Sandy,yes,1000,2000,-1000,Dry,Region2
261,Rice,-5.0,2,100,45,200,100,Sandy,1,1000,2000,500,Dry,Region2
262,Rice,1.5,2,100,20,50,10,Clay,1,-500,2000,500,Wet,Region1
263,Maize,-5.0,2,5000,20,50,10,Sandy,1,-500,2000,500,Dry,Region2
264,Maize,10.0,5,5000,20,50,100,Clay,1,1000,100,500,Wet,Region1
265,Wheat,1.5,2,10000,100,200,10,Clay,yes,-500,2000,-1000,Dry,Region2
266,Wheat,10.0,-1,10000,20,200,10,Clay,yes,1000,2000,500,Dry,Region2
267,Maize,-5.0,5,5000,20,200,10,Clay,0,1000,2000,500,Wet,Region2
268,Rice,-5.0,5,5000,45,50,100,Sandy,1,-500,100,500,Wet,Region2
269,Wheat,-5.0,2,5000,45,200,10,Clay,1,-500,2000,500,Dry,Region2
270,Maize,1.5,2,100,45,200,10,Sandy,1,-500,100,-1000,Dry,Region1
271,Wheat,-5.0,5,5000,20,50,10,Sandy,0,1000,2000,500,Wet,Region2
272,Wheat,10.0,5,5000,20,200,100,Sandy,1,1000,100,500,Dry,Region2
273,Wheat,1.5,2,10000,100,50,10,Clay,1,1000,100,-1000,Wet,Region2
274,Rice,10.0,-1,100,45,50,100,Clay,0,-500,100,500,Dry,Region1
275,Rice,10.0,2,5000,20,200,10,Sandy,yes,-500,2000,-1000,Wet,Region1
276,Maize,-5.0,5,100,20,50,100,Sandy,yes,1000,100,-1000,Dry,Region2
277,Maize,1.5,5,100,100,200,10,Clay,yes,1000,100,500,Dry,Region2
278,Wheat,1.5,5,10000,45,50,100,Clay,yes,1000,100,500,Wet,Region1
279,Rice,1.5,5,100,45,50,10,Sandy,yes,-500,100,-1000,Dry,Region2
280,Maize,10.0,-1,10000,100,200,10,Clay,0,-500,100,500,Dry,Region2
281,Wheat,1.5,5,100,20,200,10,Sandy,0,-500,2000,500,Wet,Region2
282,Rice,1.5,2,5000,20,200,10,Clay,yes,1000,2000,500,Wet,Region2
283,Maize,1.5,-1,5000,20,200,100,Sandy,0,-500,2000,-1000,Dry,Region2
284,Wheat,10.0,-1,100,20,200,10,Clay,0,-500,100,-1000,Dry,Region2
285,Rice,1.5,5,10000,20,50,100,Sandy,1,-500,100,500,Wet,Region1
286,Maize,1.5,5,10000,100,200,100,Clay,1,1000,2000,-1000,Wet,Region2
287,Wheat,10.0,5,10000,100,200,100,Clay,1,1000,100,-1000,Wet,Region1
288,Maize,-5.0,2,100,45,200,10,Clay,0,1000,100,500,Dry,Region2
289,Rice,10.0,-1,10000,20,50,100,Clay,1,-500,2000,-1000,Wet,Region2
290,Wheat,10.0,-1,10000,20,200,100,Clay,yes,1000,100,500,Wet,Region1
291,Wheat,1.5,-1,5000,20,200,10,Sandy,1,1000,100,500,Wet,Region2
292,Rice,10.0,-1,5000,100,50,10,Clay,1,-500,2000,-1000,Dry,Region1
293,Wheat,10.0,5,100,45,50,100,Clay,0,-500,100,-1000,Wet,Region2
294,Rice,-5.0,5,100,100,50,10,Clay,1,-500,100,-1000,Wet,Region1
295,Rice,1.5,2,10000,20,50,10,Clay,0,1000,100,500,Wet,Region2
296,Wheat,-5.0,5,100,100,200,100,Sandy,yes,1000,2000,-1000,Dry,Region1
297,Rice,-5.0,2,100,100,200,100,Clay,yes,1000,2000,-1000,Dry,Region2
298,Rice,-5.0,-1,5000,100,50,100,Sandy,1,1000,2000,-1000,Wet,Region2
299,Rice,1.5,5,5000,100,50,10,Clay,1,1000,2000,500,Dry,Region2
300,Wheat,-5.0,2,10000,20,50,100,Clay,1,1000,100,500,Wet,Region1
301,Wheat,-5.0,2,10000,45,200,10,Sandy,1,1000,2000,-1000,Wet,Region1
302,Rice,-5.0,5,10000,45,200,10,Clay,yes,1000,100,-1000,Dry,Region2
303,Maize,1.5,-1,5000,45,200,10,Clay,yes,-500,100,500,Dry,Region2
304,Maize,1.5,5,10000,100,50,100,Clay,1,1000,100,-1000,Wet,Region2
305,Maize,-5.0,-1,5000,100,200,10,Sandy,1,-500,2000,-1000,Wet,Region1
306,Maize,1.5,2,10000,20,50,10,Sandy,yes,-500,2000,-1000,Wet,Region2
307,Rice,10.0,5,100,100,50,100,Clay,0,1000,100,-1000,Wet,Region2
